20130101,1,31.05,42497
20130101,2,30.47,41463
20130101,3,28.92,40812
20130101,4,27.88,40246
20130101,5,26.96,40088
20130101,6,27.84,40360
20130101,7,28.79,41027
20130101,8,28.63,41976
20130101,9,28.44,42705
20130101,10,28.3,43503
20130101,11,30.65,44766
20130101,12,31.55,45691
20130101,13,32.16,46085
20130101,14,32.45,46306
20130101,15,32.63,46918
20130101,16,33.65,48161
20130101,17,34.9,49542
20130101,18,36.22,50210
20130101,19,36.65,49909
20130101,20,36.37,49107
20130101,21,35.49,48101
20130101,22,34.41,47445
20130101,23,34.66,45680
20130101,0,32.55,44099
20130102,1,33.15,42602
20130102,2,32.66,41720
20130102,3,31.83,41519
20130102,4,31.47,41672
20130102,5,32.56,42621
20130102,6,34.36,44805
20130102,7,36.28,48444
20130102,8,38.39,52178
20130102,9,39.09,53740
20130102,10,38.33,53976
20130102,11,38.42,54480
20130102,12,38.25,54787
20130102,13,37.96,54592
20130102,14,37.89,54511
20130102,15,37.88,54848
20130102,16,38.78,55705
20130102,17,39.83,56651
20130102,18,39.91,56935
20130102,19,39.32,55997
20130102,20,38.49,54835
20130102,21,37.46,53220
20130102,22,36.94,51962
20130102,23,36.37,49776
20130102,0,34.59,47125
20130103,1,33.11,45029
20130103,2,32.22,44023
20130103,3,31.46,43600
20130103,4,31.67,43677
20130103,5,32.05,44377
20130103,6,33.67,46427
20130103,7,34.93,50150
20130103,8,35.82,54148
20130103,9,36.38,55882
20130103,10,36.52,56040
20130103,11,36.71,56216
20130103,12,36.6,56110
20130103,13,36.51,55576
20130103,14,36.4,55411
20130103,15,36.42,55768
20130103,16,36.58,56413
20130103,17,36.94,57285
20130103,18,36.94,57558
20130103,19,36.81,56793
20130103,20,36.43,55578
20130103,21,35.91,53745
20130103,22,35.45,52308
20130103,23,34.77,49951
20130103,0,32.09,47288
20130104,1,31.71,44859
20130104,2,30.86,43868
20130104,3,30.21,43473
20130104,4,30.36,43557
20130104,5,30.89,44292
20130104,6,32.21,46354
20130104,7,34.33,49917
20130104,8,35.98,53990
20130104,9,36.72,55748
20130104,10,36.68,55766
20130104,11,36.8,56039
20130104,12,36.64,55875
20130104,13,36.44,55427
20130104,14,36.31,55218
20130104,15,35.83,55541
20130104,16,36.12,56355
20130104,17,36.8,57165
20130104,18,37.29,57337
20130104,19,37.15,56567
20130104,20,36.47,55246
20130104,21,36.03,53340
20130104,22,35.43,51900
20130104,23,35.17,49813
20130104,0,32.95,47370
20130105,1,33.69,44975
20130105,2,32.71,43955
20130105,3,32.09,43482
20130105,4,32.17,43213
20130105,5,32.73,43443
20130105,6,33.77,44042
20130105,7,34.03,45160
20130105,8,33.98,47109
20130105,9,34.45,48944
20130105,10,36.12,50445
20130105,11,36.69,51662
20130105,12,36.74,51849
20130105,13,36.52,51614
20130105,14,36.12,51186
20130105,15,36.14,51497
20130105,16,36.78,52648
20130105,17,37.71,54211
20130105,18,38.37,54731
20130105,19,37.99,54014
20130105,20,36.94,52452
20130105,21,36.24,50729
20130105,22,35.89,49577
20130105,23,35.7,48007
20130105,0,35.44,46375
20130106,1,34.87,46150
20130106,2,33.05,44946
20130106,3,32.25,44345
20130106,4,32.41,44067
20130106,5,32.45,44134
20130106,6,32.8,44641
20130106,7,33.27,45736
20130106,8,32.97,47134
20130106,9,33.65,48601
20130106,10,34.25,49839
20130106,11,35.01,51058
20130106,12,35.94,51738
20130106,13,35.79,51743
20130106,14,35.02,51714
20130106,15,34.85,51959
20130106,16,35.18,53239
20130106,17,35.9,54580
20130106,18,37.09,55054
20130106,19,37.65,54611
20130106,20,37.39,53503
20130106,21,36.99,52220
20130106,22,36.1,51122
20130106,23,36,49213
20130106,0,34.93,47156
20130107,1,34.97,46057
20130107,2,33.71,45168
20130107,3,33.13,44715
20130107,4,33.23,44840
20130107,5,34.1,45736
20130107,6,35.68,48206
20130107,7,38.51,52410
20130107,8,40.66,56801
20130107,9,42.48,58004
20130107,10,42.08,57798
20130107,11,41.97,57959
20130107,12,41.37,57892
20130107,13,40.3,57433
20130107,14,39.96,57153
20130107,15,40.17,57264
20130107,16,41.6,58066
20130107,17,42.37,58814
20130107,18,41.93,58890
20130107,19,39.97,57726
20130107,20,38.9,56264
20130107,21,37.92,54454
20130107,22,37.47,52814
20130107,23,36.49,50312
20130107,0,35.55,47645
20130108,1,35.44,45947
20130108,2,35.01,44792
20130108,3,34.83,44296
20130108,4,34.84,44215
20130108,5,35.21,44864
20130108,6,36.35,47149
20130108,7,39.04,51134
20130108,8,42.55,55286
20130108,9,44.35,56290
20130108,10,43.58,56111
20130108,11,43.15,56339
20130108,12,42.43,56264
20130108,13,41.92,55810
20130108,14,41.94,55676
20130108,15,41.72,55822
20130108,16,43.47,56700
20130108,17,47.47,57601
20130108,18,47.97,57779
20130108,19,44.91,56954
20130108,20,42.78,55745
20130108,21,39.77,54021
20130108,22,39.09,52608
20130108,23,38.23,50189
20130108,0,36.14,47492
20130109,1,36.49,45937
20130109,2,35.92,44833
20130109,3,35.44,44216
20130109,4,35.76,44292
20130109,5,35.93,45092
20130109,6,37.31,47494
20130109,7,39.17,51772
20130109,8,41.4,56447
20130109,9,43.51,57646
20130109,10,41.59,57470
20130109,11,40.8,57470
20130109,12,40.56,57517
20130109,13,40.5,57119
20130109,14,40.74,56975
20130109,15,40.53,57070
20130109,16,40.75,57801
20130109,17,42.96,58685
20130109,18,43.08,58883
20130109,19,40.87,58181
20130109,20,39.81,57064
20130109,21,39.02,55355
20130109,22,37.97,53987
20130109,23,36.71,51505
20130109,0,35.3,48686
20130110,1,35.77,46644
20130110,2,35.2,45700
20130110,3,34.74,45389
20130110,4,35,45640
20130110,5,36,46669
20130110,6,37.13,49380
20130110,7,38.83,54019
20130110,8,41.69,58919
20130110,9,44.07,60258
20130110,10,42.7,60073
20130110,11,42.08,60124
20130110,12,41.72,59999
20130110,13,41.8,59714
20130110,14,42.41,59510
20130110,15,43.61,59619
20130110,16,44.02,60297
20130110,17,47.44,61048
20130110,18,48.8,61407
20130110,19,43.22,60574
20130110,20,41.56,59298
20130110,21,40.29,57434
20130110,22,39.65,56051
20130110,23,38.9,53540
20130110,0,37.44,50631
20130111,1,37.1,48693
20130111,2,36.33,47660
20130111,3,36.05,47314
20130111,4,35.57,47557
20130111,5,36.34,48540
20130111,6,38.13,51645
20130111,7,40.29,56300
20130111,8,45.68,61223
20130111,9,49.75,62058
20130111,10,46.3,61782
20130111,11,45.58,61855
20130111,12,43.6,61535
20130111,13,43.43,61035
20130111,14,43.04,60348
20130111,15,43.72,60152
20130111,16,44.15,60960
20130111,17,47.64,62056
20130111,18,49.17,62358
20130111,19,43.78,61256
20130111,20,41.82,59624
20130111,21,40.12,57559
20130111,22,39.58,56089
20130111,23,38.85,54011
20130111,0,37.64,51812
20130112,1,37.94,49528
20130112,2,37.52,48298
20130112,3,36.95,47549
20130112,4,36.98,47315
20130112,5,36.88,47463
20130112,6,37.24,48150
20130112,7,37.9,49383
20130112,8,38.62,51451
20130112,9,39.28,53370
20130112,10,40.31,55122
20130112,11,40.99,56255
20130112,12,41.24,56592
20130112,13,40.98,56480
20130112,14,40.79,55939
20130112,15,40.84,55880
20130112,16,42.09,56863
20130112,17,44.73,58718
